,title,summary
10,Enhancing IoT Intelligence: A Transformer-based Reinforcement Learning Methodology,"The proliferation of the Internet of Things (IoT) has led to an explosion of
data generated by interconnected devices, presenting both opportunities and
challenges for intelligent decision-making in complex environments. Traditional
Reinforcement Learning (RL) approaches often struggle to fully harness this
data due to their limited ability to process and interpret the intricate
patterns and dependencies inherent in IoT applications. This paper introduces a
novel framework that integrates transformer architectures with Proximal Policy
Optimization (PPO) to address these challenges. By leveraging the
self-attention mechanism of transformers, our approach enhances RL agents'
capacity for understanding and acting within dynamic IoT environments, leading
to improved decision-making processes. We demonstrate the effectiveness of our
method across various IoT scenarios, from smart home automation to industrial
control systems, showing marked improvements in decision-making efficiency and
adaptability. Our contributions include a detailed exploration of the
transformer's role in processing heterogeneous IoT data, a comprehensive
evaluation of the framework's performance in diverse environments, and a
benchmark against traditional RL methods. The results indicate significant
advancements in enabling RL agents to navigate the complexities of IoT
ecosystems, highlighting the potential of our approach to revolutionize
intelligent automation and decision-making in the IoT landscape."
11,Probabilistically Informed Robot Object Search with Multiple Regions,"The increasing use of autonomous robot systems in hazardous environments
underscores the need for efficient search and rescue operations. Despite
significant advancements, existing literature on object search often falls
short in overcoming the difficulty of long planning horizons and dealing with
sensor limitations, such as noise. This study introduces a novel approach that
formulates the search problem as a belief Markov decision processes with
options (BMDP-O) to make Monte Carlo tree search (MCTS) a viable tool for
overcoming these challenges in large scale environments. The proposed
formulation incorporates sequences of actions (options) to move between regions
of interest, enabling the algorithm to efficiently scale to large environments.
This approach also enables the use of customizable fields of view, for use with
multiple types of sensors. Experimental results demonstrate the superiority of
this approach in large environments when compared to the problem without
options and alternative tools such as receding horizon planners. Given compute
time for the proposed formulation is relatively high, a further approximated
""lite"" formulation is proposed. The lite formulation finds objects in a
comparable number of steps with faster computation."
12,Chinese Tiny LLM: Pretraining a Chinese-Centric Large Language Model,"In this study, we introduce CT-LLM, a 2B large language model (LLM) that
illustrates a pivotal shift towards prioritizing the Chinese language in
developing LLMs. Uniquely initiated from scratch, CT-LLM diverges from the
conventional methodology by primarily incorporating Chinese textual data,
utilizing an extensive corpus of 1,200 billion tokens, including 800 billion
Chinese tokens, 300 billion English tokens, and 100 billion code tokens. This
strategic composition facilitates the model's exceptional proficiency in
understanding and processing Chinese, a capability further enhanced through
alignment techniques. Demonstrating remarkable performance on the CHC-Bench,
CT-LLM excels in Chinese language tasks, and showcases its adeptness in English
through SFT. This research challenges the prevailing paradigm of training LLMs
predominantly on English corpora and then adapting them to other languages,
broadening the horizons for LLM training methodologies. By open-sourcing the
full process of training a Chinese LLM, including a detailed data processing
procedure with the obtained Massive Appropriate Pretraining Chinese Corpus
(MAP-CC), a well-chosen multidisciplinary Chinese Hard Case Benchmark
(CHC-Bench), and the 2B-size Chinese Tiny LLM (CT-LLM), we aim to foster
further exploration and innovation in both academia and industry, paving the
way for more inclusive and versatile language models."
13,Noisy Label Processing for Classification: A Survey,"In recent years, deep neural networks (DNNs) have gained remarkable
achievement in computer vision tasks, and the success of DNNs often depends
greatly on the richness of data. However, the acquisition process of data and
high-quality ground truth requires a lot of manpower and money. In the long,
tedious process of data annotation, annotators are prone to make mistakes,
resulting in incorrect labels of images, i.e., noisy labels. The emergence of
noisy labels is inevitable. Moreover, since research shows that DNNs can easily
fit noisy labels, the existence of noisy labels will cause significant damage
to the model training process. Therefore, it is crucial to combat noisy labels
for computer vision tasks, especially for classification tasks. In this survey,
we first comprehensively review the evolution of different deep learning
approaches for noisy label combating in the image classification task. In
addition, we also review different noise patterns that have been proposed to
design robust algorithms. Furthermore, we explore the inner pattern of
real-world label noise and propose an algorithm to generate a synthetic label
noise pattern guided by real-world data. We test the algorithm on the
well-known real-world dataset CIFAR-10N to form a new real-world data-guided
synthetic benchmark and evaluate some typical noise-robust methods on the
benchmark."
14,Precision Guided Approach to Mitigate Data Poisoning Attacks in Federated Learning,"Federated Learning (FL) is a collaborative learning paradigm enabling
participants to collectively train a shared machine learning model while
preserving the privacy of their sensitive data. Nevertheless, the inherent
decentralized and data-opaque characteristics of FL render its susceptibility
to data poisoning attacks. These attacks introduce malformed or malicious
inputs during local model training, subsequently influencing the global model
and resulting in erroneous predictions. Current FL defense strategies against
data poisoning attacks either involve a trade-off between accuracy and
robustness or necessitate the presence of a uniformly distributed root dataset
at the server. To overcome these limitations, we present FedZZ, which harnesses
a zone-based deviating update (ZBDU) mechanism to effectively counter data
poisoning attacks in FL. Further, we introduce a precision-guided methodology
that actively characterizes these client clusters (zones), which in turn aids
in recognizing and discarding malicious updates at the server. Our evaluation
of FedZZ across two widely recognized datasets: CIFAR10 and EMNIST, demonstrate
its efficacy in mitigating data poisoning attacks, surpassing the performance
of prevailing state-of-the-art methodologies in both single and multi-client
attack scenarios and varying attack volumes. Notably, FedZZ also functions as a
robust client selection strategy, even in highly non-IID and attack-free
scenarios. Moreover, in the face of escalating poisoning rates, the model
accuracy attained by FedZZ displays superior resilience compared to existing
techniques. For instance, when confronted with a 50% presence of malicious
clients, FedZZ sustains an accuracy of 67.43%, while the accuracy of the
second-best solution, FL-Defender, diminishes to 43.36%."
15,Large language models as oracles for instantiating ontologies with domain-specific knowledge,"Background. Endowing intelligent systems with semantic data commonly requires
designing and instantiating ontologies with domain-specific knowledge.
Especially in the early phases, those activities are typically performed
manually by human experts possibly leveraging on their own experience. The
resulting process is therefore time-consuming, error-prone, and often biased by
the personal background of the ontology designer. Objective. To mitigate that
issue, we propose a novel domain-independent approach to automatically
instantiate ontologies with domain-specific knowledge, by leveraging on large
language models (LLMs) as oracles. Method. Starting from (i) an initial schema
composed by inter-related classes andproperties and (ii) a set of query
templates, our method queries the LLM multi- ple times, and generates instances
for both classes and properties from its replies. Thus, the ontology is
automatically filled with domain-specific knowledge, compliant to the initial
schema. As a result, the ontology is quickly and automatically enriched with
manifold instances, which experts may consider to keep, adjust, discard, or
complement according to their own needs and expertise. Contribution. We
formalise our method in general way and instantiate it over various LLMs, as
well as on a concrete case study. We report experiments rooted in the
nutritional domain where an ontology of food meals and their ingredients is
semi-automatically instantiated from scratch, starting from a categorisation of
meals and their relationships. There, we analyse the quality of the generated
ontologies and compare ontologies attained by exploiting different LLMs.
Finally, we provide a SWOT analysis of the proposed method."
16,Intervention-Assisted Policy Gradient Methods for Online Stochastic Queuing Network Optimization: Technical Report,"Deep Reinforcement Learning (DRL) offers a powerful approach to training
neural network control policies for stochastic queuing networks (SQN). However,
traditional DRL methods rely on offline simulations or static datasets,
limiting their real-world application in SQN control. This work proposes Online
Deep Reinforcement Learning-based Controls (ODRLC) as an alternative, where an
intelligent agent interacts directly with a real environment and learns an
optimal control policy from these online interactions. SQNs present a challenge
for ODRLC due to the unbounded nature of the queues within the network
resulting in an unbounded state-space. An unbounded state-space is particularly
challenging for neural network policies as neural networks are notoriously poor
at extrapolating to unseen states. To address this challenge, we propose an
intervention-assisted framework that leverages strategic interventions from
known stable policies to ensure the queue sizes remain bounded. This framework
combines the learning power of neural networks with the guaranteed stability of
classical control policies for SQNs. We introduce a method to design these
intervention-assisted policies to ensure strong stability of the network.
Furthermore, we extend foundational DRL theorems for intervention-assisted
policies and develop two practical algorithms specifically for ODRLC of SQNs.
Finally, we demonstrate through experiments that our proposed algorithms
outperform both classical control approaches and prior ODRLC algorithms."
17,Robust Preference Optimization with Provable Noise Tolerance for LLMs,"The preference alignment aims to enable large language models (LLMs) to
generate responses that conform to human values, which is essential for
developing general AI systems. Ranking-based methods -- a promising class of
alignment approaches -- learn human preferences from datasets containing
response pairs by optimizing the log-likelihood margins between preferred and
dis-preferred responses. However, due to the inherent differences in
annotators' preferences, ranking labels of comparisons for response pairs are
unavoidably noisy. This seriously hurts the reliability of existing
ranking-based methods. To address this problem, we propose a provably
noise-tolerant preference alignment method, namely RObust Preference
Optimization (ROPO). To the best of our knowledge, ROPO is the first preference
alignment method with noise-tolerance guarantees. The key idea of ROPO is to
dynamically assign conservative gradient weights to response pairs with high
label uncertainty, based on the log-likelihood margins between the responses.
By effectively suppressing the gradients of noisy samples, our weighting
strategy ensures that the expected risk has the same gradient direction
independent of the presence and proportion of noise. Experiments on three
open-ended text generation tasks with four base models ranging in size from
2.8B to 13B demonstrate that ROPO significantly outperforms existing
ranking-based methods."
18,Dynamic Prompt Optimizing for Text-to-Image Generation,"Text-to-image generative models, specifically those based on diffusion models
like Imagen and Stable Diffusion, have made substantial advancements. Recently,
there has been a surge of interest in the delicate refinement of text prompts.
Users assign weights or alter the injection time steps of certain words in the
text prompts to improve the quality of generated images. However, the success
of fine-control prompts depends on the accuracy of the text prompts and the
careful selection of weights and time steps, which requires significant manual
intervention. To address this, we introduce the \textbf{P}rompt
\textbf{A}uto-\textbf{E}diting (PAE) method. Besides refining the original
prompts for image generation, we further employ an online reinforcement
learning strategy to explore the weights and injection time steps of each word,
leading to the dynamic fine-control prompts. The reward function during
training encourages the model to consider aesthetic score, semantic
consistency, and user preferences. Experimental results demonstrate that our
proposed method effectively improves the original prompts, generating visually
more appealing images while maintaining semantic alignment. Code is available
at https://github.com/Mowenyii/PAE."
19,Self-Sensing Feedback Control of an Electrohydraulic Robotic Shoulder,"The human shoulder, with its glenohumeral joint, tendons, ligaments, and
muscles, allows for the execution of complex tasks with precision and
efficiency. However, current robotic shoulder designs lack the compliance and
compactness inherent in their biological counterparts. A major limitation of
these designs is their reliance on external sensors like rotary encoders, which
restrict mechanical joint design and introduce bulk to the system. To address
this constraint, we present a bio-inspired antagonistic robotic shoulder with
two degrees of freedom powered by self-sensing hydraulically amplified
self-healing electrostatic actuators. Our artificial muscle design decouples
the high-voltage electrostatic actuation from the pair of low-voltage
self-sensing electrodes. This approach allows for proprioceptive feedback
control of trajectories in the task space while eliminating the necessity for
any additional sensors. We assess the platform's efficacy by comparing it to a
feedback control based on position data provided by a motion capture system.
The study demonstrates closed-loop controllable robotic manipulators based on
an inherent self-sensing capability of electrohydraulic actuators. The proposed
architecture can serve as a basis for complex musculoskeletal joint
arrangements."
20,CLUE: A Clinical Language Understanding Evaluation for LLMs,"Large Language Models (LLMs) have shown the potential to significantly
contribute to patient care, diagnostics, and administrative processes. Emerging
biomedical LLMs address healthcare-specific challenges, including privacy
demands and computational constraints. However, evaluation of these models has
primarily been limited to non-clinical tasks, which do not reflect the
complexity of practical clinical applications. Additionally, there has been no
thorough comparison between biomedical and general-domain LLMs for clinical
tasks. To fill this gap, we present the Clinical Language Understanding
Evaluation (CLUE), a benchmark tailored to evaluate LLMs on real-world clinical
tasks. CLUE includes two novel datasets derived from MIMIC IV discharge letters
and four existing tasks designed to test the practical applicability of LLMs in
healthcare settings. Our evaluation covers several biomedical and general
domain LLMs, providing insights into their clinical performance and
applicability. CLUE represents a step towards a standardized approach to
evaluating and developing LLMs in healthcare to align future model development
with the real-world needs of clinical application. We publish our evaluation
and data generation scripts: https://github.com/dadaamin/CLUE"
21,Score identity Distillation: Exponentially Fast Distillation of Pretrained Diffusion Models for One-Step Generation,"We introduce Score identity Distillation (SiD), an innovative data-free
method that distills the generative capabilities of pretrained diffusion models
into a single-step generator. SiD not only facilitates an exponentially fast
reduction in Fr\'echet inception distance (FID) during distillation but also
approaches or even exceeds the FID performance of the original teacher
diffusion models. By reformulating forward diffusion processes as semi-implicit
distributions, we leverage three score-related identities to create an
innovative loss mechanism. This mechanism achieves rapid FID reduction by
training the generator using its own synthesized images, eliminating the need
for real data or reverse-diffusion-based generation, all accomplished within
significantly shortened generation time. Upon evaluation across four benchmark
datasets, the SiD algorithm demonstrates high iteration efficiency during
distillation and surpasses competing distillation approaches, whether they are
one-step or few-step, data-free, or dependent on training data, in terms of
generation quality. This achievement not only redefines the benchmarks for
efficiency and effectiveness in diffusion distillation but also in the broader
field of diffusion-based generation. Our PyTorch implementation will be
publicly accessible on GitHub."
22,Dynamic Risk Assessment Methodology with an LDM-based System for Parking Scenarios,"This paper describes the methodology for building a dynamic risk assessment
for ADAS (Advanced Driving Assistance Systems) algorithms in parking scenarios,
fusing exterior and interior perception for a better understanding of the scene
and a more comprehensive risk estimation. This includes the definition of a
dynamic risk methodology that depends on the situation from inside and outside
the vehicle, the creation of a multi-sensor dataset of risk assessment for ADAS
benchmarking purposes, and a Local Dynamic Map (LDM) that fuses data from the
exterior and interior of the car to build an LDM-based Dynamic Risk Assessment
System (DRAS)."
23,Validation of critical maneuvers based on shared control,"This paper presents the validation of shared control strategies for critical
maneuvers in automated driving systems. Shared control involves collaboration
between the driver and automation, allowing both parties to actively engage and
cooperate at different levels of the driving task. The involvement of the
driver adds complexity to the control loop, necessitating comprehensive
validation methodologies. The proposed approach focuses on two critical
maneuvers: overtaking in low visibility scenarios and lateral evasive actions.
A modular architecture with an arbitration module and shared control algorithms
is implemented, primarily focusing on the lateral control of the vehicle. The
validation is conducted using a dynamic simulator, involving 8 real drivers
interacting with a virtual environment. The results demonstrate improved safety
and user acceptance, indicating the effectiveness of the shared control
strategies in comparison with no shared-control support. Future work involves
implementing shared control in drive-by-wire systems to enhance safety and
driver comfort during critical maneuvers. Overall, this research contributes to
the development and validation of shared control approaches in automated
driving systems."
24,Approximate UMAP allows for high-rate online visualization of high-dimensional data streams,"In the BCI field, introspection and interpretation of brain signals are
desired for providing feedback or to guide rapid paradigm prototyping but are
challenging due to the high noise level and dimensionality of the signals. Deep
neural networks are often introspected by transforming their learned feature
representations into 2- or 3-dimensional subspace visualizations using
projection algorithms like Uniform Manifold Approximation and Projection
(UMAP). Unfortunately, these methods are computationally expensive, making the
projection of data streams in real-time a non-trivial task. In this study, we
introduce a novel variant of UMAP, called approximate UMAP (aUMAP). It aims at
generating rapid projections for real-time introspection. To study its
suitability for real-time projecting, we benchmark the methods against standard
UMAP and its neural network counterpart parametric UMAP. Our results show that
approximate UMAP delivers projections that replicate the projection space of
standard UMAP while decreasing projection speed by an order of magnitude and
maintaining the same training time."
25,Demonstration Guided Multi-Objective Reinforcement Learning,"Multi-objective reinforcement learning (MORL) is increasingly relevant due to
its resemblance to real-world scenarios requiring trade-offs between multiple
objectives. Catering to diverse user preferences, traditional reinforcement
learning faces amplified challenges in MORL. To address the difficulty of
training policies from scratch in MORL, we introduce demonstration-guided
multi-objective reinforcement learning (DG-MORL). This novel approach utilizes
prior demonstrations, aligns them with user preferences via corner weight
support, and incorporates a self-evolving mechanism to refine suboptimal
demonstrations. Our empirical studies demonstrate DG-MORL's superiority over
existing MORL algorithms, establishing its robustness and efficacy,
particularly under challenging conditions. We also provide an upper bound of
the algorithm's sample complexity."
26,Fast Genetic Algorithm for feature selection -- A qualitative approximation approach,"Evolutionary Algorithms (EAs) are often challenging to apply in real-world
settings since evolutionary computations involve a large number of evaluations
of a typically expensive fitness function. For example, an evaluation could
involve training a new machine learning model. An approximation (also known as
meta-model or a surrogate) of the true function can be used in such
applications to alleviate the computation cost. In this paper, we propose a
two-stage surrogate-assisted evolutionary approach to address the computational
issues arising from using Genetic Algorithm (GA) for feature selection in a
wrapper setting for large datasets. We define 'Approximation Usefulness' to
capture the necessary conditions to ensure correctness of the EA computations
when an approximation is used. Based on this definition, we propose a procedure
to construct a lightweight qualitative meta-model by the active selection of
data instances. We then use a meta-model to carry out the feature selection
task. We apply this procedure to the GA-based algorithm CHC (Cross generational
elitist selection, Heterogeneous recombination and Cataclysmic mutation) to
create a Qualitative approXimations variant, CHCQX. We show that CHCQX
converges faster to feature subset solutions of significantly higher accuracy
(as compared to CHC), particularly for large datasets with over 100K instances.
We also demonstrate the applicability of the thinking behind our approach more
broadly to Swarm Intelligence (SI), another branch of the Evolutionary
Computation (EC) paradigm with results of PSOQX, a qualitative approximation
adaptation of the Particle Swarm Optimization (PSO) method. A GitHub repository
with the complete implementation is available."
27,Balancing Progress and Responsibility: A Synthesis of Sustainability Trade-Offs of AI-Based Systems,"Recent advances in artificial intelligence (AI) capabilities have increased
the eagerness of companies to integrate AI into software systems. While AI can
be used to have a positive impact on several dimensions of sustainability, this
is often overshadowed by its potential negative influence. While many studies
have explored sustainability factors in isolation, there is insufficient
holistic coverage of potential sustainability benefits or costs that
practitioners need to consider during decision-making for AI adoption. We
therefore aim to synthesize trade-offs related to sustainability in the context
of integrating AI into software systems. We want to make the sustainability
benefits and costs of integrating AI more transparent and accessible for
practitioners.
  The study was conducted in collaboration with a Dutch financial organization.
We first performed a rapid review that led to the inclusion of 151 research
papers. Afterward, we conducted six semi-structured interviews to enrich the
data with industry perspectives. The combined results showcase the potential
sustainability benefits and costs of integrating AI. The labels synthesized
from the review regarding potential sustainability benefits were clustered into
16 themes, with ""energy management"" being the most frequently mentioned one. 11
themes were identified in the interviews, with the top mentioned theme being
""employee wellbeing"". Regarding sustainability costs, the review discovered
seven themes, with ""deployment issues"" being the most popular one, followed by
""ethics & society"". ""Environmental issues"" was the top theme from the
interviews. Our results provide valuable insights to organizations and
practitioners for understanding the potential sustainability implications of
adopting AI."
28,Rolling the dice for better deep learning performance: A study of randomness techniques in deep neural networks,"This paper investigates how various randomization techniques impact Deep
Neural Networks (DNNs). Randomization, like weight noise and dropout, aids in
reducing overfitting and enhancing generalization, but their interactions are
poorly understood. The study categorizes randomness techniques into four types
and proposes new methods: adding noise to the loss function and random masking
of gradient updates. Using Particle Swarm Optimizer (PSO) for hyperparameter
optimization, it explores optimal configurations across MNIST, FASHION-MNIST,
CIFAR10, and CIFAR100 datasets. Over 30,000 configurations are evaluated,
revealing data augmentation and weight initialization randomness as main
performance contributors. Correlation analysis shows different optimizers
prefer distinct randomization types. The complete implementation and dataset
are available on GitHub."
29,Random Walk in Random Permutation Set Theory,"Random walk is an explainable approach for modeling natural processes at the
molecular level. The Random Permutation Set Theory (RPST) serves as a framework
for uncertainty reasoning, extending the applicability of Dempster-Shafer
Theory. Recent explorations indicate a promising link between RPST and random
walk. In this study, we conduct an analysis and construct a random walk model
based on the properties of RPST, with Monte Carlo simulations of such random
walk. Our findings reveal that the random walk generated through RPST exhibits
characteristics similar to those of a Gaussian random walk and can be
transformed into a Wiener process through a specific limiting scaling
procedure. This investigation establishes a novel connection between RPST and
random walk theory, thereby not only expanding the applicability of RPST, but
also demonstrating the potential for combining the strengths of both approaches
to improve problem-solving abilities."
30,On the Antiferromagnetic$\unicode{x2013}$Ferromagnetic Phase Transition in Pinwheel Artificial Spin Ice,"Nanopatterned magnetic thin films offer a platform for exploration of
tailored magnetic properties such as emergent long-range order. A prominent
example is artificial spin ice (ASI), where an arrangement of nanoscale
magnetic elements, acting as macrospins, interact via their dipolar fields. In
this study, we discuss the transition from antiferromagnetic (AF) to
ferromagnetic (FM) long-range order in a square lattice ASI, as the magnetic
elements are gradually rotated through 45{\deg} to a ""pinwheel"" configuration.
The AF$\unicode{x2013}$FM transition is observed experimentally using
synchrotron radiation x-ray spectromicroscopy and occurs for a critical
rotation angle of the nanomagnets, contingent upon the dipolar coupling
determined by their separation in the lattice. Large-scale magnetic dipole
simulations show that the point-dipole approximation fails to capture the
correct AF$\unicode{x2013}$FM transition angle. However, excellent agreement
with experimental data is obtained using a dumbbell-dipole model which better
reflects the actual dipolar fields of the magnets. This model explains the
coupling-dependence of the transition angle, another feature not captured by
the pointdipole model. Our findings resolve a discrepancy between measurement
and theory in previous work on ""pinwheel"" ASIs. Control of the
AF$\unicode{x2013}$FM transition and this revised model open for improved
design of magnetic order in nanostructured systems."
31,Bayesian Graphs of Intelligent Causation,"Probabilistic Graphical Bayesian models of causation have continued to impact
on strategic analyses designed to help evaluate the efficacy of different
interventions on systems. However, the standard causal algebras upon which
these inferences are based typically assume that the intervened population does
not react intelligently to frustrate an intervention. In an adversarial setting
this is rarely an appropriate assumption. In this paper, we extend an
established Bayesian methodology called Adversarial Risk Analysis to apply it
to settings that can legitimately be designated as causal in this graphical
sense. To embed this technology we first need to generalize the concept of a
causal graph. We then proceed to demonstrate how the predicable intelligent
reactions of adversaries to circumvent an intervention when they hear about it
can be systematically modelled within such graphical frameworks, importing
these recent developments from Bayesian game theory. The new methodologies and
supporting protocols are illustrated through applications associated with an
adversary attempting to infiltrate a friendly state."
